COORD,A0,E0,A4,E4
A2,-81,-79,-79,-82
A2,-81,-79,-79,-82
A1,-81,-79,-79,-82
A1,-81,-79,-79,-82
A1,-81,-79,-82,-82
A1,-81,-79,-82,-82
A1,-81,-79,-82,-82
A1,-83,-82,-83,-82
A1,-83,-82,-83,-82
A0,-83,-82,-83,-82
A0,-83,-82,-83,-82
A0,-83,-82,-83,-82
A0,-83,-82,-83,-82
A0,-83,-82,-83,-82
A0,-75,-78,-81,-82
A0,-75,-78,-81,-82
A0,-75,-78,-81,-82
A0,-75,-78,-81,-82
A1,-80,-78,-80,-82
A1,-80,-78,-80,-82
A1,-81,-78,-80,-82
A1,-81,-78,-80,-82
A2,-81,-78,-84,-82
A2,-81,-78,-84,-82
A2,-81,-78,-84,-82
A2,-81,-78,-84,-82
A3,-82,-79,-88,-82
A3,-82,-79,-88,-82
A3,-82,-79,-88,-82
A3,-82,-79,-88,-82
A4,-82,-84,-75,-82
A4,-82,-84,-75,-82
B0,-82,-84,-75,-82
B0,-82,-84,-75,-82
B0,-82,-84,-75,-82
B0,-82,-84,-75,-82
B0,-82,-84,-75,-82
B1,-82,-84,-75,-82
B1,-82,-84,-75,-82
B1,-82,-84,-75,-82
B1,-82,-81,-75,-82
B1,-82,-81,-75,-82
B1,-82,-81,-75,-82
B1,-82,-81,-75,-82
B2,-82,-81,-75,-82
B2,-82,-81,-75,-82
B2,-82,-81,-75,-82
B2,-82,-81,-75,-82
B2,-82,-81,-75,-82
B2,-82,-81,-75,-82
B3,-82,-81,-75,-82
B3,-82,-81,-75,-82
B3,-82,-81,-75,-82
B3,-82,-81,-75,-82
B3,-82,-81,-75,-82
B3,-82,-81,-75,-82
B3,-82,-81,-75,-82
B4,-82,-81,-75,-82
B4,-82,-81,-75,-82
B4,-82,-81,-75,-82
B4,-82,-81,-75,-82
B4,-82,-81,-75,-82
C4,-82,-81,-75,-82
C4,-82,-81,-75,-82
C4,-82,-81,-75,-82
C4,-82,-81,-75,-82
C4,-82,-81,-75,-82
C3,-82,-81,-75,-82
C3,-82,-81,-75,-82
C3,-82,-81,-75,-82
C3,-82,-81,-75,-82
C3,-82,-81,-75,-82
C3,-82,-81,-75,-82
C3,-82,-81,-75,-82
C3,-82,-81,-75,-82
C3,-84,-81,-84,-82
C3,-84,-81,-84,-82
C3,-88,-84,-79,-80
C3,-88,-84,-79,-80
C3,-88,-84,-79,-80
C3,-85,-84,-81,-82
C3,-85,-84,-81,-82
C3,-85,-84,-81,-82
